pesos	numero
41	1
41	2
41	3
41	4
41	5
42	6
44	7
44	8
44	9
45	10
45	11
46	12
47	13
47	14
55	34
55	35
57	36
58	37
58	38
58	39
58	40
58	41
59	42
60	43
60	44
62	45
62	46
62	47
64	48
66	49
66	50
66	51
67	52
68	53
68	54
69	55
70	56
70	57
71	58
71	59
71	60
72	61
72	62
72	63
72	64
72	65
72	66
74	67
74	68
75	69
75	70
76	71
77	72
78	73
78	74
80	75
80	76
80	77
81	78
81	79
82	80
82	81
82	82
82	83
83	84
83	85
83	86
84	87
84	88
85	89
86	90
87	91
87	92
88	93
88	94
88	95
88	96
89	97
90	98
90	99
90	100
47	15
47	16
47	17
48	18
48	19
48	20
49	21
50	22
50	23
51	24
51	25
52	26
52	27
52	28
52	29
52	30
54	31
54	32
54	33
